naziv_proizvoda;sifra_proizvoda;marka;neto_kolicina_jedinica_mjere;cijena_za_jedinicu_mjere;maloprodajna_cijena;poseban_oblik_prodaje;naziv_posebnog_oblika_prodaje;sidrena_cijena;barkod;dostupnost
Broadfork;BF;Green Tools TECH;1 kom;175,00;175,00;NE;;175,00;;na zalihi
Crimper Attachment for Multi Dibbler;CMD;Green Tools TECH;1 kom;30,00;30,00;NE;;30,00;;po narudžbi
Dibbles for Rolling Dibbler–Crimper (Pack of 10);RD-DIB;Green Tools TECH;1 kom;45,00;45,00;NE;;45,00;;po narudžbi
Double Wheel Hoe Upgrade Kit;WHX2;Green Tools TECH;1 kom;125,00;125,00;NE;;125,00;;po narudžbi
Electric Wheel Hoe - NanoTrack MK2;NTMK2;Green Tools TECH;1 kom;1500,00;1500,00;NE;;1500,00;;po narudžbi
Furrower for Wheel Hoe;FW;Green Tools TECH;1 kom;30,00;30,00;NE;;30,00;;na zalihi
Grid Marker VAR20;GM20;Green Tools TECH;1 kom;185,00;185,00;NE;;185,00;;po narudžbi
Grid Marker VAR30;GM30;Green Tools TECH;1 kom;185,00;185,00;NE;;185,00;;na zalihi
Hand Cultivator;HC;Green Tools TECH;1 kom;25,00;25,00;NE;;25,00;;na zalihi
Handles for Broadfork;H;Green Tools TECH;1 kom;10,00;10,00;NE;;10,00;;na zalihi
Handles for Broadfork (Old Model);HS;Green Tools TECH;1 kom;15,00;15,00;NE;;15,00;;na zalihi
Leek Dibbles (237 mm) for Multi Dibbler;MD-L;Green Tools TECH;1 kom;45,00;45,00;NE;;45,00;;po narudžbi
Market Garden Pro Kit 1;PKIT1;Green Tools TECH;1 kom;595,00;595,00;DA;Sniženje;660,00;;na zalihi
Market Garden Starter Kit 1;SKIT1;Green Tools TECH;1 kom;225,00;225,00;DA;Sniženje;250,00;;na zalihi
Market Garden Starter Kit 2;SKIT2;Green Tools TECH;1 kom;165,00;165,00;DA;Sniženje;185,00;;na zalihi
Minifork;MIN;Green Tools TECH;1 kom;110,00;110,00;NE;;110,00;;na zalihi
Multi Dibbler;MD;Green Tools TECH;1 kom;165,00;165,00;NE;;165,00;;po narudžbi
No-Dig Garden Starter Kit: Broadfork + Roto Hoe;KIT-ND;Green Tools TECH;1 kom;315,00;315,00;DA;Sniženje;350,00;;na zalihi
Rollaway Nest Box System for Eggmobiles;NBS;Green Tools TECH;1 kom;850,00;850,00;NE;;850,00;;po narudžbi
Rolling Dibbler - Crimper;RD;Green Tools TECH;1 kom;440,00;440,00;NE;;440,00;;po narudžbi
Roto Hoe;RH;Green Tools TECH;1 kom;175,00;175,00;NE;;175,00;;po narudžbi
Single Wheel Hoe;WHX1;Green Tools TECH;1 kom;250,00;250,00;NE;;250,00;;po narudžbi
Spare Blade for Wheel Hoe;SB20;Green Tools TECH;1 kom;22,00;22,00;NE;;22,00;;po narudžbi
Swing Hoe 12;SH12;Green Tools TECH;1 kom;50,00;50,00;NE;;50,00;;na zalihi
Swing Hoe 20;SH20;Green Tools TECH;1 kom;50,00;50,00;NE;;50,00;;na zalihi
Zip Plow;ZP;Green Tools TECH;1 kom;55,00;55,00;NE;;55,00;;na zalihi
